temp,satpress_kpa,satliq_vf,satvap_vg,satliq_uf,satvap_ug,satliq_hf,satvap_hg,satliq_sf,satvap_sg
-40,51.25,0.0007053,0.36064,-0.036,207.38,0,225.86,0,0.96869
-38,56.86,0.0007082,0.32718,2.472,208.53,2.512,227.13,0.01071,0.96588
-36,62.95,0.0007111,0.2974,4.987,209.68,5.032,228.4,0.02137,0.96319
-34,69.56,0.0007141,0.27082,7.509,210.83,7.559,229.66,0.03196,0.96063
-32,76.71,0.0007171,0.24706,10.04,211.97,10.09,230.93,0.04249,0.95819
-30,84.43,0.0007201,0.22577,12.58,213.12,12.64,232.19,0.05297,0.95586
-28,92.76,0.0007232,0.20666,15.12,214.27,15.19,233.44,0.06339,0.95364
-26,101.73,0.0007264,0.18947,17.67,215.42,17.75,234.7,0.07376,0.95152
-24,111.37,0.0007296,0.17398,20.23,216.57,20.31,235.94,0.08408,0.9495
-22,121.72,0.0007328,0.15999,22.8,217.71,22.89,237.19,0.09435,0.94758
-20,132.82,0.0007361,0.14735,25.37,218.86,25.47,238.43,0.10456,0.94575
-18,144.69,0.0007394,0.13589,27.96,220,28.07,239.67,0.11473,0.94401
-16,157.38,0.0007428,0.1255,30.55,221.15,30.67,240.9,0.12486,0.94234
-14,170.93,0.0007463,0.11605,33.15,222.29,33.28,242.12,0.13493,0.94076
-12,185.37,0.0007498,0.10744,35.76,223.42,35.9,243.34,0.13397,0.93925
-10,200.74,0.0007533,0.0996,38.38,224.56,38.53,244.55,0.15496,0.93782
-8,217.08,0.000757,0.092438,41.01,225.69,41.17,245.76,0.16491,0.93645
-6,234.44,0.0007607,0.085888,43.64,226.82,43.82,246.95,0.17482,0.93514
-4,252.85,0.0007644,0.079889,46.29,227.94,46.48,248.14,0.18469,0.9339
-2,272.36,0.0007683,0.074388,48.94,229.07,49.15,249.33,0.19452,0.93271
0,293.01,0.0007722,0.069335,51.61,230.18,51.83,250.5,0.20432,0.93158
2,314.84,0.0007761,0.06469,54.28,231.3,54.53,251.66,0.21408,0.9305
4,337.9,0.0007802,0.056469,56.97,232.4,57.23,252.82,0.22381,0.92946
6,362.23,0.0007843,0.052829,59.66,233.51,59.95,253.96,0.23351,0.92847
8,387.88,0.0007886,0.049466,62.37,234.6,62.68,255.09,0.24318,0.92752
10,414.89,0.0007929,0.046354,65.09,235.69,65.42,256.22,0.25282,0.92661
12,443.31,0.0007973,0.043471,67.82,236.78,68.17,257.33,0.26243,0.92574
14,473.19,0.0008018,0.040798,70.56,237.86,70.94,258.43,0.27201,0.9249
16,504.58,0.0008064,0.040798,73.31,238.93,73.72,259.51,0.28157,0.92409
18,537.52,0.0008112,0.038317,76.07,239.99,76.51,260.59,0.29111,0.9233
20,572.07,0.000816,0.036012,78.85,241.04,79.32,261.64,0.30062,0.92254
22,608.27,0.0008209,0.033867,81.64,242.09,82.14,262.69,0.31012,0.9218
24,646.18,0.000826,0.031869,84.44,243.13,84.98,263.72,0.31959,0.92107
26,685.84,0.0008312,0.030008,87.26,244.15,87.83,264.73,0.32905,0.92036
28,727.31,0.0008366,0.028271,90.09,245.17,90.7,265.73,0.33849,0.91967
30,770.64,0.0008421,0.026648,92.93,246.17,93.58,266.71,0.34792,0.91897
32,815.89,0.008477,0.025131,95.79,247.17,96.49,267.67,0.35734,0.91829
34,863.11,0.0008535,0.023712,98.67,248.15,99.41,268.61,0.36675,0.9176
36,912.35,0.0008595,0.022383,101.56,249.11,102.34,269.53,0.37615,0.91692
38,963.68,0.0008657,0.021137,104.47,250.07,105.3,270.44,0.38554,0.91622
40,1017.1,0.000872,0.019968,107.39,251,108.28,271.31,0.39493,0.91552
42,1072.8,0.0008786,0.01887,110.34,251.92,111.28,272.17,0.40432,0.9148
44,1130.7,0.0008854,0.017837,113.3,252.83,114.3,273,0.41371,0.91407
46,1191,0.0008924,0.016866,116.28,253.71,117.34,273.8,0.42311,0.91331
48,1253.6,0.0008997,0.015951,119.28,254.58,120.41,274.57,0.43251,0.91252
52,1386.2,0.0009151,0.014276,125.35,256.24,126.62,276.03,0.45136,0.91084
56,1529.1,0.0009317,0.012782,131.52,257.81,132.94,277.35,0.47028,0.90898
60,1682.8,0.0009498,0.011434,137.79,259.23,139.38,278.47,0.4893,0.90676
65,1891,0.0009751,0.009959,145.8,260.86,147.64,279.69,0.5133,0.90379
70,2118.2,0.0010037,0.00865,154.03,262.2,156.15,280.52,0.53763,0.90002
75,2365.8,0.0010373,0.007486,162.55,263.17,165.01,280.88,0.56252,0.89531
80,2635.3,0.0010774,0.006439,171.43,263.66,174.27,280.63,0.58812,0.88925
85,2928.2,0.0011273,0.005484,180.81,263.45,184.11,279.51,0.61487,0.8812
90,3246.9,0.0011938,0.004591,190.94,262.13,194.82,277.04,0.64354,0.86991
95,3594.1,0.0012945,0.003713,202.49,258.73,207.14,272.08,0.67605,0.85243
100,3975.1,0.0015269,0.002657,218.73,248.46,224.8,259.02,0.72224,0.81393
