press_kPa,temp_C,v,u,h,s
60,-36.95,0.31108,209.13,227.8,0.9645
60,-20,0.33608,220.62,240.78,1.0175
60,-10,0.35048,227.57,248.6,1.0478
60,0,0.36476,234.67,256.56,1.0775
60,10,0.37893,241.94,264.68,1.1067
60,20,0.39302,249.37,272.95,1.1354
60,30,0.40705,256.97,281.39,1.1637
60,40,0.42102,264.73,289.99,1.1916
60,50,0.43495,272.66,298.75,1.2192
60,60,0.44883,280.75,307.68,1.2464
60,70,0.46269,289.01,316.77,1.2732
60,80,0.47651,297.43,326.02,1.2998
60,90,0.49032,306.02,335.43,1.3261
60,100,0.5041,314.76,345.01,1.3521
