press_kPa,temp_C,v,u,h,s
100,-26.37,0.19255,215.21,234.46,0.9519
100,-20,0.19841,219.68,239.52,0.9721
100,-10,0.20743,226.77,247.51,1.0031
100,0,0.2163,233.97,255.6,1.0333
100,10,0.22506,241.32,263.82,1.0628
100,20,0.23373,248.81,272.18,1.0919
100,30,0.24233,256.46,280.69,1.1204
100,40,0.25088,264.27,289.36,1.1485
100,50,0.25937,272.24,298.17,1.1762
100,60,0.26783,280.36,307.15,1.2036
100,70,0.27626,288.65,316.28,1.2306
100,80,0.28465,297.1,325.57,1.2573
100,90,0.29303,305.71,335.01,1.2836
100,100,0.30138,314.48,344.61,1.3097
