press_kPa,temp_C,v,u,h,s
140,-18.77,0.1402,219.56,239.19,0.9447
140,-10,0.14605,225.93,246.37,0.9724
140,0,0.15263,233.25,254.61,1.0032
140,10,0.15908,240.68,262.95,1.0331
140,20,0.16544,248.24,271.4,1.0625
140,30,0.17172,255.95,279.99,1.0913
140,40,0.17794,263.8,288.72,1.1196
140,50,0.18412,271.81,297.59,1.1475
140,60,0.19025,279.97,306.61,1.175
140,70,0.19635,288.29,315.78,1.2021
140,80,0.20242,296.77,325.11,1.2289
140,90,0.20847,305.4,334.59,1.2554
140,100,0.21449,314.22,344.22,1.2815
