press_kPa,temp_C,v,u,h,s
280,-1.25,0.07243,229.49,249.77,0.9323
280,0,0.07282,230.46,250.85,0.9362
280,10,0.07646,238.29,259.7,0.9681
280,20,0.07997,246.15,268.54,0.9987
280,30,0.08338,254.08,277.42,1.0285
280,40,0.08672,262.12,286.4,1.0577
280,50,0.09,270.28,295.48,1.0862
280,60,0.09324,278.58,304.69,1.1143
280,70,0.09644,287.01,314.01,1.1419
280,80,0.09961,295.59,323.48,1.169
280,90,0.10275,304.3,333.07,1.1958
280,100,0.10587,313.17,342.81,1.2223
280,110,0.10897,322.18,352.69,1.2484
280,120,0.11205,331.34,362.72,1.2742
280,130,0.11512,340.65,372.88,1.2998
280,140,0.11818,350.11,383.2,1.3251
