press_kPa,temp_C,v,u,h,s
320,2.46,0.06368,231.55,251.93,0.9303
320,10,0.06609,237.56,258.7,0.9545
320,20,0.06925,245.51,267.67,0.9856
320,30,0.07231,253.52,276.66,1.0158
320,40,0.0753,261.62,285.72,1.0452
320,50,0.07823,269.83,294.87,1.0739
320,60,0.08111,278.17,304.12,1.1022
320,70,0.08395,286.64,313.5,1.1299
320,80,0.08675,295.24,323,1.1572
320,90,0.08953,303.99,332.64,1.1841
320,100,0.09229,312.87,342.41,1.2106
320,110,0.09503,321.91,352.31,1.2368
320,120,0.09775,331.08,362.36,1.2627
320,130,0.10045,340.41,372.55,1.2883
320,140,0.10314,349.88,382.89,1.3136
