press_kPa,temp_C,v,u,h,s
400,8.91,0.051266,235.1,255.61,0.9271
400,10,0.051506,235.99,256.59,0.9306
400,20,0.054213,244.19,265.88,0.9628
400,30,0.056796,252.37,275.09,0.9937
400,40,0.059292,260.6,284.32,1.0237
400,50,0.061724,268.92,293.61,1.0529
400,60,0.064104,277.34,302.98,1.0814
400,70,0.066443,285.88,312.45,1.1095
400,80,0.068747,294.54,322.04,1.137
400,90,0.071023,303.34,331.75,1.1641
400,100,0.073274,312.28,341.59,1.1908
400,110,0.075504,321.35,351.55,1.2172
400,120,0.077717,330.56,361.65,1.2432
400,130,0.079913,339.92,371.89,1.2689
400,140,0.082096,349.42,382.26,1.2943
