press_kPa,temp_C,v,u,h,s
500,15.71,0.041168,238.77,259.36,0.9242
500,20,0.042115,242.42,263.48,0.9384
500,30,0.044338,250.86,273.03,0.9704
500,40,0.046456,259.27,282.5,1.0011
500,50,0.048499,267.73,291.98,1.0309
500,60,0.050485,276.27,301.51,1.06
500,70,0.052427,284.91,311.12,1.0884
500,80,0.054331,293.65,320.82,1.1163
500,90,0.056205,302.52,330.63,1.1436
500,100,0.058053,311.52,340.55,1.1706
500,110,0.05988,320.65,350.59,1.1971
500,120,0.061687,329.91,360.75,1.2233
500,130,0.063479,339.31,371.05,1.2492
500,140,0.065256,348.85,381.47,1.2747
500,150,0.067021,358.52,392.04,1.3
500,160,0.068775,368.34,402.73,1.325
