press_kPa,temp_C,v,u,h,s
600,21.55,0.034335,241.86,262.46,0.922
600,30,0.035984,249.24,270.83,0.95
600,40,0.037865,257.88,280.6,0.9817
600,50,0.039659,266.5,290.3,1.0122
600,60,0.041389,275.17,300,1.0417
600,70,0.043069,283.91,309.75,1.0706
600,80,0.04471,292.74,319.57,1.0988
600,90,0.047318,301.69,329.48,1.1265
600,100,0.0479,310.75,339.49,1.1536
600,110,0.049458,319.93,349.61,1.1804
600,120,0.050997,329.24,359.84,1.2068
600,130,0.052519,338.69,370.2,1.2328
600,140,0.054027,348.26,380.68,1.2585
600,150,0.55522,357.98,391.29,1.2838
600,160,0.057006,367.83,402.03,1.3089
