press_kPa,temp_C,v,u,h,s
700,26.69,0.029392,244.51,265.08,0.9201
700,30,0.029966,247.49,268.47,0.9314
700,40,0.031696,256.41,278.59,0.9642
700,50,0.033322,265.22,288.54,0.9955
700,60,0.034875,274.03,298.44,1.0257
700,70,0.036373,282.88,308.34,1.055
700,80,0.037829,291.81,318.29,1.0835
700,90,0.03925,300.84,328.31,1.1115
700,100,0.040642,309.96,338.41,1.1389
700,110,0.04201,319.21,348.61,1.1659
700,120,0.043358,328.57,358.92,1.1925
700,130,0.044688,338.06,369.34,1.2186
700,140,0.046004,347.67,379.88,1.2445
700,150,0.047306,357.42,390.54,1.27
700,160,0.048597,367.31,401.32,1.2952
