press_kPa,temp_C,v,u,h,s
800,31.31,0.025645,246.82,267.34,0.9185
800,40,0.027035,254.84,276.46,0.9481
800,50,0.028547,263.87,286.71,0.9803
800,60,0.029973,272.85,296.82,1.0111
800,70,0.03134,281.83,306.9,1.0409
800,80,0.032659,290.86,316.99,1.0699
800,90,0.033941,299.97,327.12,1.0982
800,100,0.035193,309.17,337.32,1.1259
800,110,0.03642,318.47,347.61,1.1531
800,120,0.037625,327.89,357.99,1.1798
800,130,0.038813,337.42,368.47,1.2062
800,140,0.039985,347.08,379.07,1.2321
800,150,0.041143,356.86,389.78,1.2577
800,160,0.04229,366.78,400.61,1.283
800,170,0.043427,376.83,411.57,1.3081
800,180,0.044554,387.01,422.65,1.3328
