press_kPa,temp_C,v,u,h,s
900,35.51,0.022686,248.82,269.25,0.9169
900,40,0.023375,253.15,274.19,0.9328
900,50,0.024809,262.46,284.79,0.9661
900,60,0.026146,271.62,295.15,0.9977
900,70,0.027413,280.74,305.41,1.028
900,80,0.02863,289.88,315.65,1.0574
900,90,0.029806,299.08,325.9,1.0861
900,100,0.030951,308.35,336.21,1.1141
900,110,0.032068,317.72,346.58,1.1415
900,120,0.033164,327.19,357.04,1.1684
900,130,0.034241,336.78,367.59,1.1949
900,140,0.035302,346.48,378.25,1.2211
900,150,0.036349,356.3,389.01,1.2468
900,160,0.037384,366.25,399.89,1.2722
900,170,0.038408,376.33,410.89,1.2973
900,180,0.039423,386.54,422.02,1.3221
