press_kPa,temp_C,v,u,h,s
1000,39.37,0.020319,250.17,271.04,0.9157
1000,40,0.020406,251.32,271.73,0.918
1000,50,0.021796,260.96,282.76,0.9526
1000,60,0.023068,270.33,293.4,0.9851
1000,70,0.024261,279.61,303.87,1.016
1000,80,0.025398,288.87,314.27,1.0459
1000,90,0.026492,298.17,324.66,1.0749
1000,100,0.027552,307.52,335.08,1.1032
1000,110,0.028584,316.96,345.54,1.1309
1000,120,0.029592,326.49,356.08,1.158
1000,130,0.030581,336.12,366.7,1.1847
1000,140,0.031554,345.87,377.42,1.211
1000,150,0.032512,355.73,388.24,1.2369
1000,160,0.033457,365.71,399.17,1.2624
1000,170,0.034392,375.82,410.22,1.2876
1000,180,0.035317,386.06,421.38,1.3125
