press_kPa,temp_C,v,u,h,s
1200,46.29,0.016728,253.84,273.92,0.9132
1200,50,0.017201,257.64,278.28,0.9268
1200,60,0.018404,267.57,289.66,0.9615
1200,70,0.019502,277.23,300.63,0.9939
1200,80,0.020529,286.77,311.4,1.0249
1200,90,0.021506,296.28,322.09,1.0547
1200,100,0.022442,305.81,332.74,1.0836
1200,110,0.023348,315.4,343.41,1.1119
1200,120,0.024228,325.05,354.12,1.1395
1200,130,0.025086,334.79,364.9,1.1665
1200,140,0.025927,344.63,375.74,1.1931
1200,150,0.026753,354.57,386.68,1.2192
1200,160,0.027566,364.63,397.71,1.245
1200,170,0.028367,374.8,408.84,1.2704
1200,180,0.029158,385.1,420.09,1.2955
