press_kPa,temp_C,v,u,h,s
1600,57.88,0.012134,258.5,277.92,0.908
1600,60,0.012372,260.91,280.71,0.9164
1600,70,0.01343,271.78,293.71,0.9536
1600,80,0.014362,282.11,305.09,0.9875
1600,90,0.015215,292.19,316.53,1.0195
1600,100,0.016014,302.16,327.78,1.0501
1600,110,0.016773,312.09,338.93,1.0795
1600,120,0.0175,322.03,350.03,1.1081
1600,130,0.018201,332.02,361.14,1.136
1600,140,0.018882,342.06,372.27,1.1633
1600,150,0.019545,352.19,383.46,1.1901
1600,160,0.020194,362.4,394.71,1.2164
1600,170,0.02083,372.71,406.04,1.2422
1600,180,0.021456,383.13,417.46,1.2677
